Frame;leftX;leftY;Area;Open/Close;%close/sec;#Open/close;avg time close
1;341;266;131;0;;;
2;341;266;96;0;;;
3;336;264;133;0;;;
4;355;250;138;0;;;
5;337;263;131;0;;;
6;356;249;134;0;;;
7;357;249;133;0;;;
8;356;249;133;0;;;
9;356;264;132;0;;;
10;353;250;130;0;;;
11;350;263;129;0;;;
12;334;250;121;0;;;
13;348;263;166;0;;;
14;348;263;133;0;;;
15;343;263;130;0;;;
16;327;263;127;0;;;
17;341;263;131;0;;;
18;333;263;126;0;;;
19;333;263;128;0;;;
20;329;266;131;0;;;
21;329;266;124;0;;;
22;343;267;125;0;;;
23;356;262;176;0;;;
24;339;263;126;0;;;
25;339;263;20;1;;1;
26;339;263;0;1;;;
27;339;263;0;1;;;
28;339;263;0;1;;;
29;339;263;0;1;16,66666667;;0,166666667
30;339;263;40;0;16,66666667;;0,166666667
31;339;263;67;0;16,66666667;;0,166666667
32;339;263;97;0;16,66666667;;0,166666667
33;358;249;110;0;16,66666667;;0,166666667
34;358;249;154;0;16,66666667;;0,166666667
35;358;249;161;0;16,66666667;;0,166666667
36;357;262;157;0;16,66666667;;0,166666667
37;358;248;158;0;16,66666667;;0,166666667
38;358;248;163;0;16,66666667;;0,166666667
39;358;248;157;0;16,66666667;;0,166666667
40;358;248;126;0;16,66666667;;0,166666667
41;358;248;122;0;16,66666667;;0,166666667
42;358;248;123;0;16,66666667;;0,166666667
43;358;248;149;0;16,66666667;;0,166666667
44;359;248;113;0;16,66666667;;0,166666667
45;359;261;109;0;16,66666667;;0,166666667
46;359;261;108;0;16,66666667;;0,166666667
47;359;261;94;0;16,66666667;;0,166666667
48;359;261;0;1;20;1;0,1
49;359;261;0;1;23,33333333;;0,116666667
50;359;261;0;1;26,66666667;;0,133333333
51;359;261;0;1;30;;0,15
52;359;261;0;1;33,33333333;;0,166666667
53;359;261;0;1;36,66666667;;0,183333333
54;359;261;10;1;36,66666667;;0,366666667
55;359;261;110;0;33,33333333;;0,333333333
56;359;261;136;0;30;;0,3
57;359;261;98;0;26,66666667;;0,266666667
58;360;250;103;0;23,33333333;;0,233333333
59;359;250;101;0;23,33333333;;0,233333333
60;358;250;104;0;23,33333333;;0,233333333
61;357;250;106;0;23,33333333;;0,233333333
62;346;264;106;0;23,33333333;;0,233333333
63;357;250;112;0;23,33333333;;0,233333333
64;345;249;108;0;23,33333333;;0,233333333
65;359;262;123;0;23,33333333;;0,233333333
66;361;262;159;0;23,33333333;;0,233333333
67;346;266;110;0;23,33333333;;0,233333333
68;346;266;110;0;23,33333333;;0,233333333
69;354;250;107;0;23,33333333;;0,233333333
70;349;265;108;0;23,33333333;;0,233333333
71;354;270;106;0;23,33333333;;0,233333333
72;352;250;101;0;23,33333333;;0,233333333
73;352;262;149;0;23,33333333;;0,233333333
74;367;250;115;0;23,33333333;;0,233333333
75;355;249;100;0;23,33333333;;0,233333333
76;354;266;101;0;23,33333333;;0,233333333
77;356;249;99;0;20;;
78;359;263;143;0;16,66666667;;
79;352;267;103;0;13,33333333;;
80;355;268;102;0;10;;
81;353;265;149;0;6,666666667;;
82;357;265;99;0;3,333333333;;
83;355;263;99;0;0;;
84;364;267;92;0;0;;
85;364;267;86;0;0;;
86;362;266;144;0;0;;
87;362;266;148;0;0;;
88;362;266;149;0;0;;
89;362;266;141;0;0;;
90;362;266;149;0;0;;
91;374;258;150;0;0;;
92;372;258;148;0;0;;
93;372;258;148;0;0;;
94;378;243;99;0;0;;
95;392;257;155;0;0;;
96;378;244;105;0;0;;
97;377;260;116;0;0;;
98;381;260;152;0;0;;
99;382;260;154;0;0;;
100;377;261;124;0;0;;
